aplicativo,comentario,nota,classe_alvo
Zé Delivery,atualmente zé ta negação mostra mim preço cerveja corona ml partir unidades comprando adquirir cupom trocar valor absurdo fazem cliente fidelidade nota,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,ótimo tempo fechada alguém sabe aconteceu,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,top demais facilitou vida,5,Elogio - Variedade e Praticidade
Zé Delivery,adorando zé bom,5,Elogio - Usabilidade do App
Zé Delivery,amo vou dar estrelas realmente pude acompanhar entrega tempo real tela inteira limpa hoje complicado ainda fazer,4,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,hoje dia fiz pedido ze delivery chegou rapido porem infelicidade pedido entregue moto boy mal educado grosseiro noção nenhuma segundo fazer pedido la rua porq localização puxa rua baixo sendo nao utilizei localização somente digitei nome rua n° enfim sair rua fazer pedido logo seguida paciência nenhuma aguardar código extremamente grosseiro causa desse tipo,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,parabéns entrega super rápido,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,horário funcionamento curto,2,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,zé pediu chegou valeu,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,cobram pouco entregas rápido entregam devolvem valor massa,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,lixo melhor,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,entrega cara produtos cocacola,2,Elogio - Usabilidade do App
Zé Delivery,alguns endereços batem dificultando entrega,4,Elogio - Usabilidade do App
Zé Delivery,beleza pura costei pontualidade,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bom rápido ha entrega,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,faz nenhuma gestão estabelecidos atrasa coloca falar lógica querem ter nenhum trabalho intermediação nada ajudar bem atendido fica,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,localização tempo real útil,5,Elogio - Variedade e Praticidade
Zé Delivery,opção aceitar substituição precisa aplicada antes pagamento,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,top demais amigo,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,melhor amo fazer pedidos,5,Elogio - Variedade e Praticidade
Zé Delivery,melhor,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bem elaboradoobjetivo rápido,5,Elogio - Variedade e Praticidade
Zé Delivery,acho enfor quantos minutos fata entrega chegar,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,melhor entrega cerveja super gelada parabéns,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,fiz pedido jogo nada pedido chegar entrei contato suporte tentou ligar loja liguei loja próprio zé delivery sucesso entrei contato whatsapp resposta suporte devolveu dinheiro nenhuma compensação cupom avaliar pedido dar nota negativa consegui descaso considerando usar,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,aceita pepsi boa sorte guerreiro,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,muitas vezes funciona geralmente qdo precisars,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,precisa descontos aumentar pedidos,5,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,intuitivo rápido poluição visual escolhendo,5,Elogio - Variedade e Praticidade
Zé Delivery,bom,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bom rápido melhor esperiesia,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,amei tirou taxa entrega segunda sexta uhuuuuuu,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,dá nenhum suporte cliente joga parceiro ainda permite cancelamento hora atraso consegui cancelar horrível,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,fato pedir bebida sair casa vale estrelas,5,Elogio - Variedade e Praticidade
Zé Delivery,sobre algum problema pedidos péssimo,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,refém distribuidora pedido faz hmin ainda mandou entrega permite cancelar zé delivery conivente golpes lixo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,gosto comprar pq sério,5,Elogio - Variedade e Praticidade
Zé Delivery,podia ter entrega oohs bairro escanie tampinhas deu escanie tampinhas contagem ta totalmente errado sacanagem pode tampinhas pontos,5,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,surpreendi perceber cervejas vieram gelo sacola manter temperatura,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,rápido entrega pessoas educadas,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,vale pena poucas distribuidoras tentei pedir vários endereços cidade aparece nenhuma,2,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,então participei promoção comprando bramas ganhava bola ganhei,5,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,esperar min cancelase pedidos dar satisfação pode sério,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,bem prático usar acredito gente pudesse avaliar estabelecimento ótimo pois parâmetro qualidade serviço eou comida fugir estabelecimento ruim aconteceu comigo,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,bom bons preços precisa colocar opção deixarmos avaliação sobre restaurantes pois muita frequência entregas chegam minutos atraso após horário programado entrega,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,ultimamente tido muitos atrasos preços meio exagerados continua sendo prático fácil pagamentos talvez culpa estabelecimentos falta cobrar lojas,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,encontramos tudo lanche neste nota,5,Elogio - Variedade e Praticidade
Pigz,último trabalhar entrega bike aro,5,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,ruim quero confirmar número telefone whatsapp possível,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,bom uns bugs vezes restaurantes vi boa,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,vale livrar ifood,4,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,ótimo aplicativoestou usando faz bom temporecomendo,5,Elogio - Usabilidade do App
Pigz,bom rapidez segurança pagamento agilidade entrega ❤️❤️,5,Elogio - Variedade e Praticidade
Pigz,recomendo oferece suporte nada pedido atrasa vem errado virar falar loja gran maioria contatos pigz lojas ninguém responde enfim constrangimento,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,falta cupom desconto nunca disponível,3,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,dão poucos cupons desconto,4,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,nao nenhuma aba nesse mostre pedido tempo real equívoco acompanhar precisa falar direto loja,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,fiz pedido paguei pix pedido pendente confirmação agora to dinheiro comida,1,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,super seguro aprovado,5,Elogio - Variedade e Praticidade
Pigz,deveria ter opção cancelamento pois erro endereço ligar empresa consertar endereço certo deveria ter opção alterar endereço caso errado,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,lento demora atender comandos paciência clicar várias vezes fechar aba eventos clicar pedidos péssimo,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,sensacional parabéns agora falta idealizar entregadores através pigz,5,Elogio - Variedade e Praticidade
Pigz,trava some nao localiza pedido putz,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,sido bom então gostaria deixar sugestão aba ingressos acredito interessante adicionar opção colocar dados outra pessoa compra ingresso comprei dois ingressos recentemente consegui colocar dados esposa então dois ingressos saíram nome acredito dê problemas porém algo pensar futuramente parabéns desenvolvedores nunca problema,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,sempre atende expectativas,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,excelente dias hoje prático eficiente,5,Elogio - Variedade e Praticidade
Pigz,bom uso recomendo,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,ótimo nunca tão fácil pedir forma online diversidade lojas atendidas,5,Elogio - Variedade e Praticidade
Pigz,melhor pedidos delivery,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,consigo logar conta consigo fazer pedidos tento entrar número celular diz código expirou acabado receber,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,deveria aceitar cartão débito,1,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,top hoje segunda vez novato,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,ótimo recomendo,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,precisam melhorar opção entrega onde moro exemplo difícil encontrar mapa permite adicionar endereços sugere fica difícil relatar entregador onde local exato pois nunca encontro sugestão habilitem opção editar endereço manualmente função gps mapa,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,dou quatro estrelas porquê pode melhorar avaliação pedido estabelecimento outro ponto interessante poder adicionar itens pedido antes sair entrega bebida outro item comprometa tempo entrega ideia adicional ter taxa quer entregador suba prédio evitando brigas cadê notificação informando pedido saiu entrega,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,acpmpra orientação sobre pedido mandaram gordura assada,5,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,podiam pedir vendedores atenderem número colocam pedido atrasado lugar reclamar pigz direciona número vendedor sequer ler,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,queria saber entregador,4,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,bomas pq opção chat restaurante toda vez restaurante demora obrigado ligar lá vezes estando crédito falar chat,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,gosto chega rapido,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,permite uso cartão somente pix atualiza on time,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,super fácil usar grande variedade 👏🏻👏🏻👏🏻,5,Elogio - Variedade e Praticidade
Pigz,solicito algo modifica,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,fácil usar pode fazer pedido login ágil,5,Elogio - Variedade e Praticidade
Pigz,melhor cidade,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,demorou pouco aceitar pagamento dinheiro,4,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,prático rápido bom ainda acompanho entregasuper gostei👍,5,Elogio - Variedade e Praticidade
Pigz,melhor delivery super intuitivo prático rápido suporte realmente funciona parabéns 🙌🙌,5,Elogio - Variedade e Praticidade
Pigz,experiência incrível fácil realizar pedidos simples entendimento,5,Elogio - Variedade e Praticidade
Pigz,realmente excelente fácil usar produtivo,5,Elogio - Variedade e Praticidade
Pigz,desinstalando necessita melhorar ofertar avaliação restaurantes clientes fazerem,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,gostei fazer pedido online nunca tão fácil consigo encontrar diversas opções doces salgados enfim procura rápido bonito qualidade baixar pigz,5,Elogio - Variedade e Praticidade
Pigz,ter opção cancelar saco fiquei esperando pedido loja respondia cancelar,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,conveniência seven melhorar total descaso cliente contratam blogueiros anunciar serviço atendimento deixam desejar igual propaganda prefeitura muita publicidade pouco serviço abrir espaço avaliações comentários restaurantes comércios etc entrega demora aqui engarrafamento menos trânsito,2,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,genéteu sei depende mula coisas lomo lado cora tamble so gradecer grol tidão postudo am en,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,deveria disponibilizar reclamações restaurantepedi pizzaria seven conveniência mandaram coisa nada aver pedido pedi reembolso diferença preço respondeu primeira vez acontece pigz,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,fazer pedido diz entregue sendo pessoa sair casa ir lá loja pedir dinheiro volta,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,ter avaliação lojas péssimo serviço local longe dessa forma provavelmente haverá imigrações outros cliente direito saber tipo loja vale pena comprar,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,poderia ter opção cancelar pedido duplicado algumas lojas atendem chamadas,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,pagamento online ifood faz pagamento crédito,1,Elogio - Usabilidade do App
Pigz,colocar avaliações lojas dá comprar algo saber loja avaliação boa poderia ter opção ver onde entregador tempo real,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,penúltima atualização celular redminot empresas pararam carregar ficando eterno carregamento,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Pigz,bom intuitivo precisa melhorar quesito comunicação clientes lojas desenvolvedores necessário,3,"Reclamação - Financeiro, Logística e Atendimento"
Pigz,top fazer cadastrar loja,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,preços iguais loja física,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,excelente super fácil usar previsa cadastro valor produtos igualzinho loja amei 😍❤️,5,Elogio - Variedade e Praticidade
Pigz,rápido prático fácil recomendado,5,Elogio - Variedade e Praticidade
Pigz,gostei baixei causa amigoirmão mit,5,Elogio - Elogios Gerais e Qualidade de Entregas
Pigz,cinco estrela fácil prático bem intuitivo,5,Elogio - Variedade e Praticidade
